Content ID,Reaction Type,Sentiment,Score,Category
004e820e-49c3-4ba2-9d02-62db0065410c,heart,positive,60.0,tennis
00d0cdf9-5919-4102-bf84-ebde253c3cd2,adore,positive,72.0,healthy eating
00d0cdf9-5919-4102-bf84-ebde253c3cd2,adore,positive,72.0,healthy eating
00d0cdf9-5919-4102-bf84-ebde253c3cd2,adore,positive,72.0,healthy eating
00d0cdf9-5919-4102-bf84-ebde253c3cd2,adore,positive,72.0,healthy eating
00d0cdf9-5919-4102-bf84-ebde253c3cd2,cherish,positive,70.0,healthy eating
00d0cdf9-5919-4102-bf84-ebde253c3cd2,cherish,positive,70.0,healthy eating
00d0cdf9-5919-4102-bf84-ebde253c3cd2,cherish,positive,70.0,healthy eating
00d0cdf9-5919-4102-bf84-ebde253c3cd2,disgust,negative,0.0,healthy eating
00d0cdf9-5919-4102-bf84-ebde253c3cd2,dislike,negative,10.0,healthy eating
00d0cdf9-5919-4102-bf84-ebde253c3cd2,hate,negative,5.0,healthy eating
00d0cdf9-5919-4102-bf84-ebde253c3cd2,hate,negative,5.0,healthy eating
00d0cdf9-5919-4102-bf84-ebde253c3cd2,hate,negative,5.0,healthy eating
00d0cdf9-5919-4102-bf84-ebde253c3cd2,heart,positive,60.0,healthy eating
00d0cdf9-5919-4102-bf84-ebde253c3cd2,heart,positive,60.0,healthy eating
00d0cdf9-5919-4102-bf84-ebde253c3cd2,heart,positive,60.0,healthy eating
00d0cdf9-5919-4102-bf84-ebde253c3cd2,heart,positive,60.0,healthy eating
00d0cdf9-5919-4102-bf84-ebde253c3cd2,indifferent,neutral,20.0,healthy eating
00d0cdf9-5919-4102-bf84-ebde253c3cd2,indifferent,neutral,20.0,healthy eating
00d0cdf9-5919-4102-bf84-ebde253c3cd2,interested,positive,30.0,healthy eating
00d0cdf9-5919-4102-bf84-ebde253c3cd2,interested,positive,30.0,healthy eating
00d0cdf9-5919-4102-bf84-ebde253c3cd2,interested,positive,30.0,healthy eating
00d0cdf9-5919-4102-bf84-ebde253c3cd2,intrigued,positive,45.0,healthy eating
00d0cdf9-5919-4102-bf84-ebde253c3cd2,intrigued,positive,45.0,healthy eating
00d0cdf9-5919-4102-bf84-ebde253c3cd2,intrigued,positive,45.0,healthy eating
00d0cdf9-5919-4102-bf84-ebde253c3cd2,like,positive,50.0,healthy eating
00d0cdf9-5919-4102-bf84-ebde253c3cd2,like,positive,50.0,healthy eating
00d0cdf9-5919-4102-bf84-ebde253c3cd2,love,positive,65.0,healthy eating
00d0cdf9-5919-4102-bf84-ebde253c3cd2,love,positive,65.0,healthy eating
00d0cdf9-5919-4102-bf84-ebde253c3cd2,peeking,neutral,35.0,healthy eating
00d0cdf9-5919-4102-bf84-ebde253c3cd2,peeking,neutral,35.0,healthy eating
00d0cdf9-5919-4102-bf84-ebde253c3cd2,scared,negative,15.0,healthy eating
00d0cdf9-5919-4102-bf84-ebde253c3cd2,scared,negative,15.0,healthy eating
00d0cdf9-5919-4102-bf84-ebde253c3cd2,scared,negative,15.0,healthy eating
00d0cdf9-5919-4102-bf84-ebde253c3cd2,super love,positive,75.0,healthy eating
00d0cdf9-5919-4102-bf84-ebde253c3cd2,super love,positive,75.0,healthy eating
00d0cdf9-5919-4102-bf84-ebde253c3cd2,super love,positive,75.0,healthy eating
00d0cdf9-5919-4102-bf84-ebde253c3cd2,super love,positive,75.0,healthy eating
00d0cdf9-5919-4102-bf84-ebde253c3cd2,want,positive,70.0,healthy eating
00d0cdf9-5919-4102-bf84-ebde253c3cd2,want,positive,70.0,healthy eating
00d0cdf9-5919-4102-bf84-ebde253c3cd2,want,positive,70.0,healthy eating
00d0cdf9-5919-4102-bf84-ebde253c3cd2,want,positive,70.0,healthy eating
00d0cdf9-5919-4102-bf84-ebde253c3cd2,worried,negative,12.0,healthy eating
00d0cdf9-5919-4102-bf84-ebde253c3cd2,worried,negative,12.0,healthy eating
00d0cdf9-5919-4102-bf84-ebde253c3cd2,worried,negative,12.0,healthy eating
